,id,Topics,"JCR impact factor
(Journal citation report)",SJR,H-index,Paper citations,weighted_mean,Periodicity,Publisher,Journal,Title of research paper,Published year,Url
0,21,Monte carlo method,2.704,1.671,165,242,1324.829,monthly,IEEE,IEEE Transactions on Electron Devices,Degeneracy in the ensemble Monte Carlo method for high-field transport in semiconductors,1985,https://ieeexplore.ieee.org/abstract/document/1485037
1,24,Monte carlo method,6.807,2.475,221,29,1197.653,bimonthly,IEEE,IEEE Transactions on Power Systems,A Parallel Monte Carlo Method for Optimum Allocation of Distributed Generation,2014,https://ieeexplore.ieee.org/abstract/document/6807817
2,25,Monte carlo method,4.415,0.975,163,10,855.585,bimonthly,IEEE,IEEE Transactions on Power Delivery,A Quasi-Monte Carlo Integration Method Applied to the Computation of the Pollaczek Integral,2008,https://ieeexplore.ieee.org/abstract/document/4374134
3,23,Monte carlo method,1.428,0.685,110,23,603.767,monthly,IEEE,IEEE Transactions on Nuclear Science,Physical Processes and Applications of the Monte Carlo Radiative Energy Deposition (MRED) Code,2015,https://ieeexplore.ieee.org/abstract/document/7182802
4,22,Monte carlo method,1.879,0.387,57,62,417.677,bimonthly,IEEE,Computing in Science & Engineering,The Monte Carlo method in science and engineering,2006,https://ieeexplore.ieee.org/abstract/document/1599369
5,20,Markov chain,17.73,4.208,326,71,1855.544,monthly,IEEE,IEEE Transactions on Pattern Analysis and Machine Intelligence,pairwise markov chain,2003,https://ieeexplore.ieee.org/abstract/document/1195998
6,17,Markov chain,6.79,1.944,242,45,1332.992,yearly,IEEE,IEEE Transactions on Image Processing,Hierarchical Multiple Markov Chain Model for Unsupervised Texture Segmentation,2009,https://ieeexplore.ieee.org/abstract/document/4914796
7,15,Markov chain,4.778,1.389,151,253,1284.279,monthly,IEEE,IEEE transactions on software engineering,a markov chain model for statistical software testing,1994,https://ieeexplore.ieee.org/abstract/document/328991
8,18,Markov chain,6.394,1.689,186,51,1062.643,monthly,IEEE,IEEE transactions on wireless communications,A Quasi-Stationary Markov Chain Model of a Cooperative Multi-Hop Linear Network,2011,https://ieeexplore.ieee.org/abstract/document/5754758
9,16,Markov chain,2.888,0.578,86,100,643.286,quaterly,IEEE,IEEE Transactions on Reliability,Robustness of the Markov-chain model for cyber-attack detection,2004,https://ieeexplore.ieee.org/abstract/document/1282169
10,19,Markov chain,0.51,0.252,58,12,316.796,yearly,IEEE,"Geoscience and Remote Sensing (IGARSS), IEEE International Symposium",Hyperspectral image segmentation with Markov chain model,2003,https://ieeexplore.ieee.org/abstract/document/1295263
11,13,MPC,3.03,1.696,260,353,2023.208,monthly,IEEE,IEEE transactions on automatic control,suboptimal mpc,1999,https://ieeexplore.ieee.org/abstract/document/751369
12,14,MPC,8.12,2.267,222,139,1427.281,monthly,IEEE,IEEE transactions on power electronics,Performance of Multistep Finite Control Set Model Predictive Control for Power Electronics,2015,https://ieeexplore.ieee.org/abstract/document/6784404
13,12,MPC,3.45,1.098,136,232,1161.094,bimonthly,IEEE,IEEE transactions on control systems technology,fast mpc using online optimisation,2010,https://ieeexplore.ieee.org/abstract/document/5153127
14,9,MPC,10.71,2.385,44,423,1115.995,quaterly,IEEE,IEEE industrial electronics magazine,Model Predictive Control: A Review of Its Applications in Power Electronics,2014,https://ieeexplore.ieee.org/document/6775336
15,10,MPC,7.168,2.742,199,1,1033.898,monthly,IEEE,IEEE transaction industrial electronics,Improved Model Predictive Current Control for SPMSM Drives With Parameter Mismatch,2019,https://ieeexplore.ieee.org/document/8657947
16,11,MPC,5.196,1.171,93,12,513.297,monthly,IEEE,IEEE control system magazine,Model Predictive Control methodology,2017,https://ieeexplore.ieee.org/document/7982945
17,4,ICP localization,11.52,5.388,326,131,1954.244,monthly,IEEE,IEEE Transactions on Pattern Analysis and Machine Intelligence,3D ICP point set registration,2016,https://ieeexplore.ieee.org/abstract/document/7368945
18,8,ICP localization,3.03,0.231,234,4,1190.813,,IEEE,"IEEE International Workshop of Electronics, Control, Measurement, Signals and their Application to Mechatronics",Icp slam methods implementation on a by-steerable mobile robot,2013,https://ieeexplore.ieee.org/abstract/document/6648973
19,2,ICP localization,2.27,0.512,152,181,1132.616,quaterly,IEEE,IEEE International Conference on Robotics and Automation,An icp variant using a point to line metric,2008,https://ieeexplore.ieee.org/abstract/document/4543181
20,5,ICP localization,2.44,0.479,152,38,847.197,,IEEE,IEEE International Conference on Robotics and Automation,Robust 3 D slam with a  stereo camera based on edge-point ICP algorithm,2009,https://ieeexplore.ieee.org/abstract/document/5152529
21,3,ICP localization,3.74,0.911,152,7,791.693,,IEEE,IEEE International Conference on Robotics and Automation,Overlap based ICP tuning for robust localization of a humanoid robot,2017,https://ieeexplore.ieee.org/abstract/document/7989547
22,6,ICP localization,1.75,0.234,15,17,116.702,,IEEE,"International Conference on 3D Imaging, Modeling, Processing, Visualization and Transmission",Robust ICP registraton using biunique correspondence,2011,https://ieeexplore.ieee.org/abstract/document/5955346
23,7,ICP localization,2.7,0.453,3,34,95.159,,IEEE,"IEEE International Workshop of Electronics, Control, Measurement, Signals and their Application to Mechatronics",FAST ICP-SLAM for a bi-steerable mobile robot in large environments,2015,https://ieeexplore.ieee.org/abstract/document/7208683
24,1,ICP localization,1.48,0.258,6,17,70.694,,IEEE,"IEEE International Conference on Safety, Security, and Rescue Robotics",ICP based pose graph slam,2016,https://ieeexplore.ieee.org/abstract/document/7784298
