,index,id,Topics,"JCR impact factor
(Journal citation report)",SJR,H-index,Paper citations,weighted_mean,Periodicity,Publisher,Journal,Title of research paper,Published year,Url
0,20,21,Monte carlo method,1.67,3.438,542,999,4724.994,yearly,ACS,Journal of American Chemical society,An internal-coordinate Monte Carlo method for searching conformational space,1988,https://pubs.acs.org/doi/abs/10.1021/ja00194a035
1,17,18,Monte carlo method,2.12,3.247,164,1741,4320.221,monthly,ASA,JOurnal of American Statistical Association,the Monte carlo method,2012,https://www.tandfonline.com/doi/abs/10.1080/01621459.1949.10483310
2,19,20,Monte carlo method,1.45,2.34,345,124,1985.82,monthly,Springer link,Radiation effects in Solids,Introduction to Monte carlo method,2018,https://link.springer.com/chapter/10.1007/978-1-4020-5295-8_1
3,21,22,Monte carlo method,1.479,1.049,111,176,916.063,yearly,ASA,Journal of heat transfer,The Monte Carlo Method in Radiative Heat Transfer,1998,https://asmedigitalcollection.asme.org/heattransfer/article-abstract/120/3/547/430215
4,18,19,Monte carlo method,1.428,0.685,110,23,603.767,monthly,IEEE,IEEE Transactions on Nuclear Science,Physical Processes and Applications of the Monte Carlo Radiative Energy Deposition (MRED) Code,2015,https://ieeexplore.ieee.org/abstract/document/7182802
5,16,17,Markov chain,2.12,3.247,164,94,1026.221,monthly,ASA,JOurnal of American Statistical Association,A Markov Chain Model for the Multivariate Exponentially Weighted Moving Averages Control Chart,2012,https://amstat.tandfonline.com/doi/abs/10.1080/01621459.1996.10476741#.XmxnLunhXCI
6,15,16,Markov chain,4.189,1.148,144,122,984.2,monthly,Elsevier,Agricultural and Forest Meteorology,A Markov chain model of canopy reflectance,1995,https://www.sciencedirect.com/science/article/pii/0168192394022167
7,13,14,Markov chain,2.888,0.578,86,100,643.286,quaterly,IEEE,IEEE Transactions on Reliability,Robustness of the Markov-chain model for cyber-attack detection,2004,https://ieeexplore.ieee.org/abstract/document/1282169
8,14,15,Markov chain,1.23,1.23,78,74,546.61,,ACM,19th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,Pedestrian-movement prediction based on mixed Markov-chain model,2011,https://dl.acm.org/doi/abs/10.1145/2093973.2093979
9,12,13,Markov chain,4.32,1.45,45,39,324.63,yearly,Springer link,Tools and Algorithms for the Construction and Analysis of Systems,A Markov Chain Model Checker,2000,https://link.springer.com/chapter/10.1007/3-540-46419-0_24
10,5,6,MPC,6.355,3.778,234,1803,4812.754,monthly,Elsevier,Automatica,Robust constrained model predictive control using linear matrix inequalities,1996,https://www.sciencedirect.com/science/article/pii/0005109896000635
11,8,9,MPC,6.355,3.286,239,209,1648.278,monthly,Elsevier,Automatica,Model predictive control for max-plus-linear discrete event systems,2001,https://www.sciencedirect.com/science/article/pii/S0005109801000541
12,9,10,MPC,6.355,2.192,239,111,1448.996,monthly,Elsevier,Automatica,A synthesis approach of on-line constrained robust model predictive control,2004,https://www.sciencedirect.com/science/article/pii/S0005109803002590#aep-article-footnote-id3
13,11,12,MPC,1.756,1.517,147,36,818.575,monthly,Wiley,Alche journal,A new scheme combining neural feedforward control with model‐predictive control,1992,https://aiche.onlinelibrary.wiley.com/doi/abs/10.1002/aic.690380204
14,7,8,MPC,3.316,1.241,100,89,694.987,,Elsevier,Journal of process control,Linear programming and model predictive control,2000,https://www.sciencedirect.com/science/article/pii/S0959152499000347
15,6,7,MPC,4.67,0.488,101,66,657.144,yearly,IEEE,American Control Conference,FPGA implementation of model predictive control,2006,https://ieeexplore.ieee.org/abstract/document/1656502
16,10,11,MPC,1.687,0.102,18,243,583.054,yearly,Springer link,"International journal of control,automation and system",Model predictive control: Review of the three decades of development,2011,https://link.springer.com/article/10.1007/s12555-011-0300-6
17,3,4,ICP localization,2.928,0.831,450,9,2282.205,yearly,Elsevier,Robotics and Autonomous systems,Indoor SLAM application using geometric and ICP matching methods based on line features,2018,https://www.sciencedirect.com/science/article/pii/S0921889017301367
18,4,5,ICP localization,5.01,3.475,226,34,1228.465,yearly,Wiley,Molecular microbiology,"A potential role for ICP, a leishmanial inhibitor of cysteine peptidases, in the interaction between host and parasite",2004,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2958.2004.04355.x
19,2,3,ICP localization,2.56,0.957,118,5,613.111,yearly,Springer link,International Symposium on Visual Computing,Human Body Shape and Motion Tracking by Hierarchical Weighted ICP,2011,https://link.springer.com/chapter/10.1007/978-3-642-24031-7_41
20,1,2,ICP localization,2.939,1.281,54,10,305.599,quaterly,IEEE,Robotics and Biomimetics,An odometry-free 3D mapping system with robust 6DoF pose estimation,2015,https://ieeexplore.ieee.org/abstract/document/7418763
21,0,1,ICP localization,2.99,0.518,37,7,212.514,yearly,Springer verlag,Springer Tracts in Advanced Robotics,Relative Motion Threshold for Rejection in ICP Registration,2003,https://link.springer.com/chapter/10.1007/978-3-642-13408-1_21
