id,Topics,JCR impact factor,SJR,H-index,Paper citations,weighted_mean,Periodicity,Publisher,Journal,Title of research paper,Published year,Url,Content
0,Monte carlo method,2.704,1.671,165,242,1324.829,monthly,IEEE,IEEE Transactions on Electron Devices,Degeneracy in the ensemble Monte Carlo method for high-field transport in semiconductors,1985,https://ieeexplore.ieee.org/abstract/document/1485037,"An algorithm to include the Pauli exclusion principle in the Ensemble Monte Carlo method is presented. The results indicate that significant changes in the transport properties of GaAs have to he expected when degenerate conditions are reached. Important repercussions should be found in the modeling of microwave devices, where one often deals with highly doped regions. "
1,Monte carlo method,6.807,2.475,221,29,1197.653,bimonthly,IEEE,IEEE Transactions on Power Systems,A Parallel Monte Carlo Method for Optimum Allocation of Distributed Generation,2014,https://ieeexplore.ieee.org/abstract/document/6807817,"This paper presents a procedure for estimating theoptimum allocation of distributed generation (DG) units in large distribution systems by using a multicore computing environment.The main goal of this work is to explore the application of a refined parallel Monte Carlo method for energy loss minimization in three-phase distribution systems when considering the intermittent nature of some distributed resources and the time varying shape of the loads. The procedurehas been implemented in an openenvironment in which OpenDSS is driven from MATLAB. Someexamples illustrate the scope of the proposed procedure.Distributed generation, distribution system, loss minimization, load flow, Monte Carlo method, optimal placement,parallel computing"
2,Monte carlo method,4.415,0.975,163,10,855.585,bimonthly,IEEE,IEEE Transactions on Power Delivery,A Quasi-Monte Carlo Integration Method Applied to the Computation of the Pollaczek Integral,2008,https://ieeexplore.ieee.org/abstract/document/4374134,"This paper presents an effective numeric methodto compute Pollaczek integral. This integral is widely used intransmission-line theory when computing the mutual impedancebetween an overhead conductor and another overhead or un-derground conductor and the earth-return impedance of anunderground cable. At first, we present mutual expressions pro-posed by Pollaczek and underline the numerical complexities thatoften lead to the adoption of alternative simplified methods. Thena brief review of the so called ""quasi-Monte Carlo"" integrationmethod along with its advantages is given. Such an approach isthen applied to compute numerically Pollaczek expressions. Comparison between our numerical procedure and an algorithm thathas already been published proves both the procedure accuracy,one of its main advantages along with its ease of implementation,and its relatively low time consumption, independent of the inputparameters. Finally, as an application example, quasi-Monte Carlo method is used to assess the adequacy, for several studycases, of the simplified formula by Lucca, which is a widely usedapproximate expression of interest.Coupled transmission lines, mutual coupling,power cables, power system transient"
3,Monte carlo method,1.428,0.685,110,23,603.767,monthly,IEEE,IEEE Transactions on Nuclear Science,Physical Processes and Applications of the Monte Carlo Radiative Energy Deposition (MRED) Code,2015,https://ieeexplore.ieee.org/abstract/document/7182802,"MRED is a Python-language scriptable computer application that simulates radiation transport. It is the computational engine for the on-line tool CREME-MC. MRED is based on c code from Geant4 with additional Fortran components to simulate electron transport and nuclear reactions with high precision.We provide a detailed description of the structure of MRED and the implementation of the simulation of physical processes used to simulate radiation effects in electronic devices and circuits. Extensive discussion and references are provided that illustrate the validation of models used to implement specific simulations of relevant physical processes. Several applications of MRED are summarized that demonstrate its ability to predict and describe basic physical phenomena associated with irradiation of electronic circuits and devices. These include effects from single particle radiation (including both direct ionization and indirect ionization effects), dose enhancement effects, and displacement damage ef-fects. MRED simulations have also helped to identify new single event upset mechanisms not previously observed by experiment,but since confirmed, including upsets due to muons and energetic electrons.Displacement damage, Monte Carlo, MRED, ra-diation effects, radiation transport, single event effects, single event upset, total ionizing dose."
4,Monte carlo method,1.879,0.387,57,62,417.677,bimonthly,IEEE,Computing in Science & Engineering,The Monte Carlo method in science and engineering,2006,https://ieeexplore.ieee.org/abstract/document/1599369,"Monte Carlo methods are particularly useful for problems that involve a large number of degreesof freedom. For example, deterministic methods of numerical integration operate by taking several evenly spaced samples from a function. While this might work well for functions of one variable,such methods can be very inefficient for functions of several variables. For example, to numerically integrate a function of an N-dimensional vector with a grid of 10 points in each dimension would require the evaluation of 10 points, which is far too many to be computed.Monte Carlo methods provide a way out of this exponential time increase: as long as the function is reasonably well behaved, it can be estimated by randomly selecting points in N-dimensional space and then taking an appropriate average of the function values at these points. "
5,Markov chain,17.73,4.208,326,71,1855.544,monthly,IEEE,IEEE Transactions on Pattern Analysis and Machine Intelligence,pairwise markov chain,2003,https://ieeexplore.ieee.org/abstract/document/1195998,"We propose a new model called a Pairwise Markov Chain (PMC),which generalizes the classical Hidden Markov Chain (HMC) model. Thegeneralization, which allows one to model more complex situations, in particular implies that in PMC the hidden process is not necessarily a Markov process.However, PMC allows one to use the classical Bayesian restoration methods like Maximum A Posteriori (MAP), or Maximal Posterior Mode (MPM). So, akin to HMC,PMC allows one to restore hidden stochastic processes, with numerous applications to signal and image processing, such as speech recognition, image segmentation, and symbol detection or classification, among others. Furthermore,we propose an original method of parameter estimation, which generalizes the classical Iterative Conditional Estimation (ICE) valid for of classical hidden Markovchain model, and whose extension to possibly non-Gaussian and correlated noise is briefly treated. Some preliminary experiments validate the interest of the new model.Bayesian restoration, hidden data, image segmentation, iterative conditional estimation, hidden Markov chain, pairwise Markov chain, unsupervised classification"
6,Markov chain,6.79,1.944,242,45,1332.992,yearly,IEEE,IEEE Transactions on Image Processing,Hierarchical Multiple Markov Chain Model for Unsupervised Texture Segmentation,2009,https://ieeexplore.ieee.org/abstract/document/4914796,"we present a novel multiscale texture model and a related algorithm for the unsupervised segmentation of color images. Elementary textures are characterized by their spatial interactions with neighboring regions along selected directions. Such interactions are modeled, in turn, by means of a set of Markov chains, one for each direction, whose parameters are collected in a feature vector that synthetically describes thetexture. Based on the feature vectors, the texture are then recursively merged, giving rise to larger and more complex textures,which appear at different scales of observation: accordingly, the model is named Hierarchical Multiple Markov Chain.The Texture Fragmentation and Reconstruction(TFR) algorithm,addresses the unsupervised segmentation problem based on the H-MMC model. The ""fragmentation"" step allows one to find the elementary textures of the model, while the ""reconstruction"" step defines the hierarchical image segmentation based on a probabilistic measure (texture score) which takes into account both region scale and inter region interactions. The performance of the proposed method was assessed through the Prague segmentation benchmark, based on mosaics of real natural textures, and also tested on real-world natural and remote sensing images.Classification,hierarchicalimagemodels,Markov process, pattern analysis, segmentation, texture analysis."
7,Markov chain,4.778,1.389,151,253,1284.279,monthly,IEEE,IEEE transactions on software engineering,a markov chain model for statistical software testing,1994,https://ieeexplore.ieee.org/abstract/document/328991,"Statistical testing of software establishes a basis for statistical inference about a software system's expected field quality. This paper describes a method for statistical testing based on a Markov chain model of software usage. The significance of the Markov chain is two fold. First, it allows test input sequences to be generated from multiple probability distributions, making it more general than many existing techniques. Analytical results associated with Markov chains facilitate informative analysis of the sequences before they are generated, indicating how the test is likely to unfold. Second, the test input sequences generated from the chain and applied to the software are themselves a stochastic model and are used to create a second Markov chain to encapsulate the history of the test, including any observed failure information. The influence of the failures is assessed through analytical computations on this chain. We also derive a stopping criterion for the testing process based on a comparison of the sequence generating properties of the two chains. Markov chain, statistical software testing, stochastic process, test case generation "
8,Markov chain,6.394,1.689,186,51,1062.643,monthly,IEEE,IEEE transactions on wireless communications,A Quasi-Stationary Markov Chain Model of a Cooperative Multi-Hop Linear Network,2011,https://ieeexplore.ieee.org/abstract/document/5754758,"We consider a quasi-stationary Markov chain as a model for a decode and forward wireless multi-hop cooperative transmission system that forms successive Opportunistic LargeArrays (OLAs). This paper treats a linear network topology,where the nodes form a one dimensional horizontal grid with equal spacing. In this OLA approach, all nodes are intended to decode and relay. Therefore, the method has potential application as a high-reliability and low-latency approach for broadcasting in a line-shaped network, or unicasting along a pre-designated route. We derive the transition probability matrix of the Markov chain based on the hypoexponential distribution of the received power at a given time instant assuming that all the nodes have equal transmit power and the channel has Rayleigh fading and path loss with an arbitrary exponent. The state is represented as a ternary word, which indicates which nodes have decoded inthe present hop, in a previous hop, or have not yet decoded. The Perron Frobenius eigenvalue and the corresponding eigen vector of the sub-stochastic matrix indicates the signal-to-noise ratio (SNR)  margin that enables a given hop distance.Stochastic modeling, quasi-stationary Markovchains, wireless network, cooperative transmission"
9,Markov chain,2.888,0.578,86,100,643.286,quaterly,IEEE,IEEE Transactions on Reliability,Robustness of the Markov-chain model for cyber-attack detection,2004,https://ieeexplore.ieee.org/abstract/document/1282169,"Cyber attack detection is used to identify cyber at tacks while they are acting on a computer and network system to compromise the security (e.g., availability, integrity, and confidentiality) of the system. This paper presents a cyber attack detection technique through anomaly detection, and discusses the robustness of the modeling technique employed. In this technique,a Markov-chain model represents a profile of computer event transitions in a normal/usual operating condition of a computer and network system (a norm profile). The Markov chain model of the norm profile is generated from historic data of the system's normal activities. The observed activities of the system are analyzed to infer the probability that the Markov-chain modelof the norm profile supports the observed activities. The lowerprobability the observed activities receive from the Markov-chainmodel of the norm profile, the more likely the observed activitiesare anomalies resulting from cyber-attacks, and vice versa. Thispaper presents the learning and inference algorithms of this anomaly detection technique based on the Markov-chain model of a norm profile, and examines its performance using the audit data of UNIX-based host machines with the Solar is operating system.The robustness of the Markov-chain model for cyber attack detection is presented through discussions & applications. To apply the Markov-chain technique and other stochastic processtechniques to model the sequential ordering of events, the quality of activity data plays an important role in the performance ofintrusion detection.Computer audit data, computer security, intrusion detection, Markov chain."
