Topics,Periodicity,Publisher,Journal,Title of research paper,"JCR impact factor
(Journal citation report)",SJR,H-index,Published year,Paper citations,Patent citations,Author1,Author2,Author3,Full text views,INSPEC accession number,Url
ICP localization,,IEEE,"IEEE International Conference on Safety, Security, and Rescue Robotics",ICP based pose graph slam,1.48,0.258,6,2016,17,0,Ellon Mendes,Simon Lacroix,Pierrick Koch,1395,16545311,https://ieeexplore.ieee.org/abstract/document/7784298
ICP localization,quaterly,IEEE,IEEE International Conference on Robotics and Automation,An icp variant using a point to line metric,2.27,0.512,152,2008,181,4,Andrea Censi,,,1725,10014280,https://ieeexplore.ieee.org/abstract/document/4543181
ICP localization,,IEEE,IEEE International Conference on Robotics and Automation,Overlap based ICP tuning for robust localization of a humanoid robot,3.74,0.911,152,2017,7,0,Simona Nobili,Raluca Scona,Marco Caravagna,374,17058072,https://ieeexplore.ieee.org/abstract/document/7989547
ICP localization,monthly,IEEE,IEEE Transactions on Pattern Analysis and Machine Intelligence,3D ICP point set registration,11.52,5.388,326,2016,131,0,Jiaolong Yang,Dylan Campbell,Hongdong Li,2359,,https://ieeexplore.ieee.org/abstract/document/7368945
ICP localization,,IEEE,IEEE International Conference on Robotics and Automation,Robust 3 D slam with a  stereo camera based on edge-point ICP algorithm,2.44,0.479,152,2009,38,0,Masahiro Tomono,,,1587,,https://ieeexplore.ieee.org/abstract/document/5152529
ICP localization,,IEEE,"International Conference on 3D Imaging, Modeling, Processing, Visualization and Transmission",Robust ICP registraton using biunique correspondence,1.75,0.234,15,2011,17,0,Lei Zhang,Sung-In Choi,Soon-Yong Park,601,12122107,https://ieeexplore.ieee.org/abstract/document/5955346
ICP localization,,IEEE,"IEEE International Workshop of Electronics, Control, Measurement, Signals and their Application to Mechatronics",FAST ICP-SLAM for a bi-steerable mobile robot in large environments,2.7,0.453,3,2015,34,,R. Tiar,M. Lakrouf,O. Azouaoui,259,15384367,https://ieeexplore.ieee.org/abstract/document/7208683
ICP localization,,IEEE,"IEEE International Workshop of Electronics, Control, Measurement, Signals and their Application to Mechatronics",Icp slam methods implementation on a by-steerable mobile robot,3.03,0.231,234,2013,4,,R. Tiar,M. Lakrouf,O. Azouaoui,390,13879068,https://ieeexplore.ieee.org/abstract/document/6648973
MPC,quaterly,IEEE,IEEE industrial electronics magazine,Model Predictive Control: A Review of Its Applications in Power Electronics,10.71,2.385,44,2014,423,1,Sergio Vazquez,Jose I. Leon,Leopoldo G. Franquelo,10632,14180572,https://ieeexplore.ieee.org/document/6775336
MPC,monthly,IEEE,IEEE transaction industrial electronics,Improved Model Predictive Current Control for SPMSM Drives With Parameter Mismatch,7.168,2.742,199,2019,1,0,Xin Yuan,Shuo Zhang,Chengning Zhang,790,19014081,https://ieeexplore.ieee.org/document/8657947
MPC,monthly,IEEE,IEEE control system magazine,Model Predictive Control methodology,5.196,1.171,93,2017,12,,,,,56,,https://ieeexplore.ieee.org/document/7982945
MPC,bimonthly,IEEE,IEEE transactions on control systems technology,fast mpc using online optimisation,3.45,1.098,136,2010,232,2,Yang Wang,Stephen Boyd,,9237,11142499,https://ieeexplore.ieee.org/abstract/document/5153127
MPC,monthly,IEEE,IEEE transactions on automatic control,suboptimal mpc,3.03,1.696,260,1999,353,1,P.O.M. Scokaert,D.Q. Mayne,J.B. Rawlings,1945,6205891,https://ieeexplore.ieee.org/abstract/document/751369
MPC,monthly,IEEE,IEEE transactions on power electronics,Performance of Multistep Finite Control Set Model Predictive Control for Power Electronics,8.12,2.267,222,2015,139,0,Tobias Geyer,Daniel E. Quevedo,,2423,14665224,https://ieeexplore.ieee.org/abstract/document/6784404
markov chain,monthly,IEEE,IEEE transactions on software engineering,a markov chain model for statistical software testing,4.778,1.389,151,1994,253,2,J.A. Whittaker ,M.G. Thomason,,1933,4797528,https://ieeexplore.ieee.org/abstract/document/328991
markov chain,quaterly,IEEE,IEEE Transactions on Reliability,Robustness of the Markov-chain model for cyber-attack detection,2.888,0.578,86,2004,100,3,Nong Ye,Yebin Zhang,C.M. Borror,3035,7966386,https://ieeexplore.ieee.org/abstract/document/1282169
markov chain,yearly,IEEE,IEEE Transactions on Image Processing,Hierarchical Multiple Markov Chain Model for Unsupervised Texture Segmentation,6.79,1.944,242,2009,45,0,Giuseppe Scarpa,Raffaele Gaetano,Michal Haindl,845,10776303,https://ieeexplore.ieee.org/abstract/document/4914796
markov chain,monthly,IEEE,IEEE transactions on wireless communications,A Quasi-Stationary Markov Chain Model of a Cooperative Multi-Hop Linear Network,6.394,1.689,186,2011,51,0,Syed Ali Hassan,Mary Ann Ingram,,906,12157841,https://ieeexplore.ieee.org/abstract/document/5754758
markov chain,yearly,IEEE,"Geoscience and Remote Sensing (IGARSS), IEEE International Symposium",Hyperspectral image segmentation with Markov chain model,0.51,0.252,58,2003,12,0,G. Mercier,S. Derrode,M. Lennon,175,7984811,https://ieeexplore.ieee.org/abstract/document/1295263
markov chain,monthly,IEEE,IEEE Transactions on Pattern Analysis and Machine Intelligence,pairwise markov chain,17.73,4.208,326,2003,71,0,W. Pieczynski,,,479,7667780,https://ieeexplore.ieee.org/abstract/document/1195998
monte carlo method,monthly,IEEE,IEEE Transactions on Electron Devices,Degeneracy in the ensemble Monte Carlo method for high-field transport in semiconductors,2.704,1.671,165,1985,242,0,P. Lugli,D.K. Ferry,,381,,https://ieeexplore.ieee.org/abstract/document/1485037
monte carlo method,bimonthly,IEEE,Computing in Science & Engineering,The Monte Carlo method in science and engineering,1.879,0.387,57,2006,62,0,J.G. Amar,,,571,9010246,https://ieeexplore.ieee.org/abstract/document/1599369
monte carlo method,monthly,IEEE,IEEE Transactions on Nuclear Science,Physical Processes and Applications of the Monte Carlo Radiative Energy Deposition (MRED) Code,1.428,0.685,110,2015,23,0,Robert A. Reed,Robert A. Weller,Marcus H. Mendenhall,1613,15365070,https://ieeexplore.ieee.org/abstract/document/7182802
monte carlo method,bimonthly,IEEE,IEEE Transactions on Power Systems,A Parallel Monte Carlo Method for Optimum Allocation of Distributed Generation,6.807,2.475,221,2014,29,0,Juan A. Martinez,Gerardo Guerra,,1224,14682688,https://ieeexplore.ieee.org/abstract/document/6807817
monte carlo method,bimonthly,IEEE,IEEE Transactions on Power Delivery,A Quasi-Monte Carlo Integration Method Applied to the Computation of the Pollaczek Integral,4.415,0.975,163,2008,10,0,Xavier Legrand,Alain XÉmard,GÉrard Fleury,226,10073225,https://ieeexplore.ieee.org/abstract/document/4374134
