Topics,Periodicity,Publisher,Journal,Title of research paper,JCR impact factor,SJR,H-index,Published year,Paper citations,Author1,Author2,Author3,Full text views,Url
ICP localization,yearly,springer verlag,Springer Tracts in Advanced Robotics,Relative Motion Threshold for Rejection in ICP Registration,2.99,0.518,37,2003,7,François Pomerleau,Francis Colai,François Ferland,2200,https://link.springer.com/chapter/10.1007/978-3-642-13408-1_21
ICP localization,quaterly,ieee,Robotics and Biomimetics,An odometry-free 3D mapping system with robust 6DoF pose estimation,2.939,1.281,54,2015,10,Ryo Kuramachi,Akihito Ohsato,Yoko Sasaki,688,https://ieeexplore.ieee.org/abstract/document/7418763
ICP localization,yearly,springer link,International Symposium on Visual Computing,Human Body Shape and Motion Tracking by Hierarchical Weighted ICP,2.56,0.957,118,2011,5,Jia Chen,Michael Yu Wang,Xiaojun Wu,1900,https://link.springer.com/chapter/10.1007/978-3-642-24031-7_41
ICP localization,yearly,elsevier,Robotics and Autonomous systems,Indoor SLAM application using geometric and ICP matching methods based on line features,2.928,0.831,450,2018,9,HyunhakCho,Eun Keyong Kim,Sungshin Kim,23,https://www.sciencedirect.com/science/article/pii/S0921889017301367
ICP localization,yearly,Wiley,Molecular microbiology,"A potential role for ICP, a leishmanial inhibitor of cysteine peptidases, in the interaction between host and parasite",5.01,3.475,226,2004,34,Sébastien Besteiro,Graham H. Coombs,Jeremy C. Mottram,,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2958.2004.04355.x
MPC,monthly,Elsevier,Automatica,Robust constrained model predictive control using linear matrix inequalities,6.355,3.778,234,1996,1803,Mayuresh V.Kothare,Venkataramanan Balakrishnan,Manfred Morari,553,https://www.sciencedirect.com/science/article/pii/0005109896000635
MPC,yearly,ieee,American Control Conference,FPGA implementation of model predictive control,4.67,0.488,101,2006,66,K.V. Ling,S.P. Yue,J.M. Maciejowski,1230,https://ieeexplore.ieee.org/abstract/document/1656502
MPC,,Elsevier,Journal of process control,Linear programming and model predictive control,3.316,1.241,100,2000,89,James B. Rawlings,Christopher V. Rao,,85,https://www.sciencedirect.com/science/article/pii/S0959152499000347
MPC,monthly,Elsevier,Automatica,Model predictive control for max-plus-linear discrete event systems,6.355,3.286,239,2001,209,Bart De Schutter,Ton van den Boom,,109,https://www.sciencedirect.com/science/article/pii/S0005109801000541
MPC,monthly,Elsevier,Automatica,A synthesis approach of on-line constrained robust model predictive control,6.355,2.192,239,2004,111,Baocang Ding,Shaoyuan Li,Yugeng Xi,40,https://www.sciencedirect.com/science/article/pii/S0005109803002590#aep-article-footnote-id3
MPC,yearly,Springer link,"International journal of control,automation and system",Model predictive control: Review of the three decades of development,1.687,0.102,18,2011,243,Jay H Lee,,,3926,https://link.springer.com/article/10.1007/s12555-011-0300-6
MPC,monthly,wiley,Alche journal,A new scheme combining neural feedforward control with model‐predictive control,1.756,1.517,147,1992,36,Moonyong Lee,Sunwon Park,,,https://aiche.onlinelibrary.wiley.com/doi/abs/10.1002/aic.690380204
markov chain,yearly,springer link,Tools and Algorithms for the Construction and Analysis of Systems,A Markov Chain Model Checker,4.32,1.45,45,2000,39,Holger Hermanns,Joost-Pieter Katoen,Markus Siegle,904,https://link.springer.com/chapter/10.1007/3-540-46419-0_24
markov chain,quaterly,IEEE,IEEE Transactions on Reliability,Robustness of the Markov-chain model for cyber-attack detection,2.888,0.578,86,2004,100,Yebin Zhang,C.M. Borror,Nong Ye,3035,https://ieeexplore.ieee.org/abstract/document/1282169
markov chain,,ACM,19th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,Pedestrian-movement prediction based on mixed Markov-chain model,1.23,1.23,78,2011,74,Akinori Asahara,Akiko Sato,Kishiko Maruyama,1251,https://dl.acm.org/doi/abs/10.1145/2093973.2093979
markov chain,monthly,Elsevier,Agricultural and Forest Meteorology,A Markov chain model of canopy reflectance,4.189,1.148,144,1995,122,Andres Kuusk,,,89,https://www.sciencedirect.com/science/article/pii/0168192394022167
markov chain,monthly,ASA,JOurnal of American Statistical Association,A Markov Chain Model for the Multivariate Exponentially Weighted Moving Averages Control Chart,2.12,3.247,164,2012,94,George C. Runger,Sharad S Prabhu,,91,https://amstat.tandfonline.com/doi/abs/10.1080/01621459.1996.10476741#.XmxnLunhXCI
monte carlo method,monthly,ASA,JOurnal of American Statistical Association,the Monte carlo method,2.12,3.247,164,2012,1741,S.Ulam,Nicolas Metropolis,,1250,https://www.tandfonline.com/doi/abs/10.1080/01621459.1949.10483310
monte carlo method,monthly,IEEE,IEEE Transactions on Nuclear Science,Physical Processes and Applications of the Monte Carlo Radiative Energy Deposition (MRED) Code,1.428,0.685,110,2015,23,Robert A. Weller,Marcus H. Mendenhall,Robert A. Reed,1613,https://ieeexplore.ieee.org/abstract/document/7182802
monte carlo method,monthly,Springer link,Radiation effects in Solids,Introduction to Monte carlo method,1.45,2.34,345,2018,124,Arthur F. Voter,,,5400,https://link.springer.com/chapter/10.1007/978-1-4020-5295-8_1
monte carlo method,yearly,Acs,Journal of American Chemical society,An internal-coordinate Monte Carlo method for searching conformational space,1.67,3.438,542,1988,999,George Chang,Wayne C guida,W. Clark Still,1402,https://pubs.acs.org/doi/abs/10.1021/ja00194a035
monte carlo method,yearly,Asme,Journal of heat transfer,The Monte Carlo Method in Radiative Heat Transfer,1.479,1.049,111,1998,176,J. R. Howell,,,,https://asmedigitalcollection.asme.org/heattransfer/article-abstract/120/3/547/430215
