id,Topics,"JCR impact factor
(Journal citation report)",SJR,H-index,Paper citations,weighted_mean,Periodicity,Publisher,Journal,Title of research paper,Published year,Url
21,Monte carlo method,2.704,1.671,165,242,1324.829,monthly,IEEE,IEEE Transactions on Electron Devices,Degeneracy in the ensemble Monte Carlo method for high-field transport in semiconductors,1985,https://ieeexplore.ieee.org/abstract/document/1485037
24,Monte carlo method,6.807,2.475,221,29,1197.653,bimonthly,IEEE,IEEE Transactions on Power Systems,A Parallel Monte Carlo Method for Optimum Allocation of Distributed Generation,2014,https://ieeexplore.ieee.org/abstract/document/6807817
25,Monte carlo method,4.415,0.975,163,10,855.585,bimonthly,IEEE,IEEE Transactions on Power Delivery,A Quasi-Monte Carlo Integration Method Applied to the Computation of the Pollaczek Integral,2008,https://ieeexplore.ieee.org/abstract/document/4374134
23,Monte carlo method,1.428,0.685,110,23,603.767,monthly,IEEE,IEEE Transactions on Nuclear Science,Physical Processes and Applications of the Monte Carlo Radiative Energy Deposition (MRED) Code,2015,https://ieeexplore.ieee.org/abstract/document/7182802
22,Monte carlo method,1.879,0.387,57,62,417.677,bimonthly,IEEE,Computing in Science & Engineering,The Monte Carlo method in science and engineering,2006,https://ieeexplore.ieee.org/abstract/document/1599369
20,Markov chain,17.73,4.208,326,71,1855.544,monthly,IEEE,IEEE Transactions on Pattern Analysis and Machine Intelligence,pairwise markov chain,2003,https://ieeexplore.ieee.org/abstract/document/1195998
17,Markov chain,6.79,1.944,242,45,1332.992,yearly,IEEE,IEEE Transactions on Image Processing,Hierarchical Multiple Markov Chain Model for Unsupervised Texture Segmentation,2009,https://ieeexplore.ieee.org/abstract/document/4914796
15,Markov chain,4.778,1.389,151,253,1284.279,monthly,IEEE,IEEE transactions on software engineering,a markov chain model for statistical software testing,1994,https://ieeexplore.ieee.org/abstract/document/328991
18,Markov chain,6.394,1.689,186,51,1062.643,monthly,IEEE,IEEE transactions on wireless communications,A Quasi-Stationary Markov Chain Model of a Cooperative Multi-Hop Linear Network,2011,https://ieeexplore.ieee.org/abstract/document/5754758
16,Markov chain,2.888,0.578,86,100,643.286,quaterly,IEEE,IEEE Transactions on Reliability,Robustness of the Markov-chain model for cyber-attack detection,2004,https://ieeexplore.ieee.org/abstract/document/1282169
19,Markov chain,0.51,0.252,58,12,316.796,yearly,IEEE,"Geoscience and Remote Sensing (IGARSS), IEEE International Symposium",Hyperspectral image segmentation with Markov chain model,2003,https://ieeexplore.ieee.org/abstract/document/1295263
13,MPC,3.03,1.696,260,353,2023.208,monthly,IEEE,IEEE transactions on automatic control,suboptimal mpc,1999,https://ieeexplore.ieee.org/abstract/document/751369
14,MPC,8.12,2.267,222,139,1427.281,monthly,IEEE,IEEE transactions on power electronics,Performance of Multistep Finite Control Set Model Predictive Control for Power Electronics,2015,https://ieeexplore.ieee.org/abstract/document/6784404
12,MPC,3.45,1.098,136,232,1161.094,bimonthly,IEEE,IEEE transactions on control systems technology,fast mpc using online optimisation,2010,https://ieeexplore.ieee.org/abstract/document/5153127
9,MPC,10.71,2.385,44,423,1115.995,quaterly,IEEE,IEEE industrial electronics magazine,Model Predictive Control: A Review of Its Applications in Power Electronics,2014,https://ieeexplore.ieee.org/document/6775336
10,MPC,7.168,2.742,199,1,1033.898,monthly,IEEE,IEEE transaction industrial electronics,Improved Model Predictive Current Control for SPMSM Drives With Parameter Mismatch,2019,https://ieeexplore.ieee.org/document/8657947
11,MPC,5.196,1.171,93,12,513.297,monthly,IEEE,IEEE control system magazine,Model Predictive Control methodology,2017,https://ieeexplore.ieee.org/document/7982945
4,ICP localization,11.52,5.388,326,131,1954.244,monthly,IEEE,IEEE Transactions on Pattern Analysis and Machine Intelligence,3D ICP point set registration,2016,https://ieeexplore.ieee.org/abstract/document/7368945
8,ICP localization,3.03,0.231,234,4,1190.813,,IEEE,"IEEE International Workshop of Electronics, Control, Measurement, Signals and their Application to Mechatronics",Icp slam methods implementation on a by-steerable mobile robot,2013,https://ieeexplore.ieee.org/abstract/document/6648973
2,ICP localization,2.27,0.512,152,181,1132.616,quaterly,IEEE,IEEE International Conference on Robotics and Automation,An icp variant using a point to line metric,2008,https://ieeexplore.ieee.org/abstract/document/4543181
5,ICP localization,2.44,0.479,152,38,847.197,,IEEE,IEEE International Conference on Robotics and Automation,Robust 3 D slam with a  stereo camera based on edge-point ICP algorithm,2009,https://ieeexplore.ieee.org/abstract/document/5152529
3,ICP localization,3.74,0.911,152,7,791.693,,IEEE,IEEE International Conference on Robotics and Automation,Overlap based ICP tuning for robust localization of a humanoid robot,2017,https://ieeexplore.ieee.org/abstract/document/7989547
6,ICP localization,1.75,0.234,15,17,116.702,,IEEE,"International Conference on 3D Imaging, Modeling, Processing, Visualization and Transmission",Robust ICP registraton using biunique correspondence,2011,https://ieeexplore.ieee.org/abstract/document/5955346
7,ICP localization,2.7,0.453,3,34,95.159,,IEEE,"IEEE International Workshop of Electronics, Control, Measurement, Signals and their Application to Mechatronics",FAST ICP-SLAM for a bi-steerable mobile robot in large environments,2015,https://ieeexplore.ieee.org/abstract/document/7208683
1,ICP localization,1.48,0.258,6,17,70.694,,IEEE,"IEEE International Conference on Safety, Security, and Rescue Robotics",ICP based pose graph slam,2016,https://ieeexplore.ieee.org/abstract/document/7784298
21,Monte carlo method,1.67,3.438,542,999,4724.994,yearly,ACS,Journal of American Chemical society,An internal-coordinate Monte Carlo method for searching conformational space,1988,https://pubs.acs.org/doi/abs/10.1021/ja00194a035
18,Monte carlo method,2.12,3.247,164,1741,4320.221,monthly,ASA,JOurnal of American Statistical Association,the Monte carlo method,2012,https://www.tandfonline.com/doi/abs/10.1080/01621459.1949.10483310
20,Monte carlo method,1.45,2.34,345,124,1985.82,monthly,Springer link,Radiation effects in Solids,Introduction to Monte carlo method,2018,https://link.springer.com/chapter/10.1007/978-1-4020-5295-8_1
22,Monte carlo method,1.479,1.049,111,176,916.063,yearly,ASA,Journal of heat transfer,The Monte Carlo Method in Radiative Heat Transfer,1998,https://asmedigitalcollection.asme.org/heattransfer/article-abstract/120/3/547/430215
19,Monte carlo method,1.428,0.685,110,23,603.767,monthly,IEEE,IEEE Transactions on Nuclear Science,Physical Processes and Applications of the Monte Carlo Radiative Energy Deposition (MRED) Code,2015,https://ieeexplore.ieee.org/abstract/document/7182802
17,Markov chain,2.12,3.247,164,94,1026.221,monthly,ASA,JOurnal of American Statistical Association,A Markov Chain Model for the Multivariate Exponentially Weighted Moving Averages Control Chart,2012,https://amstat.tandfonline.com/doi/abs/10.1080/01621459.1996.10476741#.XmxnLunhXCI
16,Markov chain,4.189,1.148,144,122,984.2,monthly,Elsevier,Agricultural and Forest Meteorology,A Markov chain model of canopy reflectance,1995,https://www.sciencedirect.com/science/article/pii/0168192394022167
14,Markov chain,2.888,0.578,86,100,643.286,quaterly,IEEE,IEEE Transactions on Reliability,Robustness of the Markov-chain model for cyber-attack detection,2004,https://ieeexplore.ieee.org/abstract/document/1282169
15,Markov chain,1.23,1.23,78,74,546.61,,ACM,19th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,Pedestrian-movement prediction based on mixed Markov-chain model,2011,https://dl.acm.org/doi/abs/10.1145/2093973.2093979
13,Markov chain,4.32,1.45,45,39,324.63,yearly,Springer link,Tools and Algorithms for the Construction and Analysis of Systems,A Markov Chain Model Checker,2000,https://link.springer.com/chapter/10.1007/3-540-46419-0_24
6,MPC,6.355,3.778,234,1803,4812.754,monthly,Elsevier,Automatica,Robust constrained model predictive control using linear matrix inequalities,1996,https://www.sciencedirect.com/science/article/pii/0005109896000635
9,MPC,6.355,3.286,239,209,1648.278,monthly,Elsevier,Automatica,Model predictive control for max-plus-linear discrete event systems,2001,https://www.sciencedirect.com/science/article/pii/S0005109801000541
10,MPC,6.355,2.192,239,111,1448.996,monthly,Elsevier,Automatica,A synthesis approach of on-line constrained robust model predictive control,2004,https://www.sciencedirect.com/science/article/pii/S0005109803002590#aep-article-footnote-id3
12,MPC,1.756,1.517,147,36,818.575,monthly,Wiley,Alche journal,A new scheme combining neural feedforward control with model╬ô├ç├ëpredictive control,1992,https://aiche.onlinelibrary.wiley.com/doi/abs/10.1002/aic.690380204
8,MPC,3.316,1.241,100,89,694.987,,Elsevier,Journal of process control,Linear programming and model predictive control,2000,https://www.sciencedirect.com/science/article/pii/S0959152499000347
7,MPC,4.67,0.488,101,66,657.144,yearly,IEEE,American Control Conference,FPGA implementation of model predictive control,2006,https://ieeexplore.ieee.org/abstract/document/1656502
11,MPC,1.687,0.102,18,243,583.054,yearly,Springer link,"International journal of control,automation and system",Model predictive control: Review of the three decades of development,2011,https://link.springer.com/article/10.1007/s12555-011-0300-6
4,ICP localization,2.928,0.831,450,9,2282.205,yearly,Elsevier,Robotics and Autonomous systems,Indoor SLAM application using geometric and ICP matching methods based on line features,2018,https://www.sciencedirect.com/science/article/pii/S0921889017301367
5,ICP localization,5.01,3.475,226,34,1228.465,yearly,Wiley,Molecular microbiology,"A potential role for ICP, a leishmanial inhibitor of cysteine peptidases, in the interaction between host and parasite",2004,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2958.2004.04355.x
3,ICP localization,2.56,0.957,118,5,613.111,yearly,Springer link,International Symposium on Visual Computing,Human Body Shape and Motion Tracking by Hierarchical Weighted ICP,2011,https://link.springer.com/chapter/10.1007/978-3-642-24031-7_41
2,ICP localization,2.939,1.281,54,10,305.599,quaterly,IEEE,Robotics and Biomimetics,An odometry-free 3D mapping system with robust 6DoF pose estimation,2015,https://ieeexplore.ieee.org/abstract/document/7418763
1,ICP localization,2.99,0.518,37,7,212.514,yearly,Springer verlag,Springer Tracts in Advanced Robotics,Relative Motion Threshold for Rejection in ICP Registration,2003,https://link.springer.com/chapter/10.1007/978-3-642-13408-1_21
